us-east-1,,us-east-2,,us-west-2,,us-west-1,,ca-central-1,,eu-west-1,,eu-west-2,,eu-central-1,,ap-southeast-1,,ap-northeast-1,,ap-southeast-2,,ap-northeast-2,,ap-south-1,,sa-east-1
p2.xlarge,,p2.xlarge,,p2.xlarge,,,,,,p2.xlarge,,,,,,,,,,,,,,,,
p2.8xlarge,,p2.8xlarge,,p2.8xlarge,,,,,,p2.8xlarge,,,,,,,,,,,,,,,,
p2.16xlarge,,p2.16xlarge,,p2.16xlarge,,,,,,p2.16xlarge,,,,,,,,,,,,,,,,
g2.2xlarge,,g2.2xlarge,,g2.2xlarge,,g2.2xlarge,,,,g2.2xlarge,,,,g2.2xlarge,,g2.2xlarge,,g2.2xlarge,,g2.2xlarge,,,,,,
g2.8xlarge,,g2.8xlarge,,g2.8xlarge,,g2.8xlarge,,,,g2.8xlarge,,,,g2.8xlarge,,g2.8xlarge,,g2.8xlarge,,g2.8xlarge,,,,,,
x1.16xlarge,,x1.16xlarge,,x1.16xlarge,,,,x1.16xlarge,,x1.16xlarge,,x1.16xlarge,,x1.16xlarge,,x1.16xlarge,,x1.16xlarge,,x1.16xlarge,,x1.16xlarge,,x1.16xlarge,,
x1.32xlarge,,x1.32xlarge,,x1.32xlarge,,,,x1.32xlarge,,x1.32xlarge,,x1.16xlarge,,x1.32xlarge,,x1.32xlarge,,x1.32xlarge,,x1.32xlarge,,x1.32xlarge,,x1.32xlarge,,
r3.large,,r3.large,,r3.large,,r3.large,,,,r3.large,,,,r3.large,,r3.large,,r3.large,,r3.large,,r3.large,,r3.large,,r3.large
r3.xlarge,,r3.xlarge,,r3.xlarge,,r3.xlarge,,,,r3.xlarge,,,,r3.xlarge,,r3.xlarge,,r3.xlarge,,r3.xlarge,,r3.xlarge,,r3.xlarge,,r3.xlarge
r3.2xlarge,,r3.2xlarge,,r3.2xlarge,,r3.2xlarge,,,,r3.2xlarge,,,,r3.2xlarge,,r3.2xlarge,,r3.2xlarge,,r3.2xlarge,,r3.2xlarge,,r3.2xlarge,,r3.2xlarge
r3.4xlarge,,r3.4xlarge,,r3.4xlarge,,r3.4xlarge,,,,r3.4xlarge,,,,r3.4xlarge,,r3.4xlarge,,r3.4xlarge,,r3.4xlarge,,r3.4xlarge,,r3.4xlarge,,r3.4xlarge
r3.8xlarge,,r3.8xlarge,,r3.8xlarge,,r3.8xlarge,,,,r3.8xlarge,,,,r3.8xlarge,,r3.8xlarge,,r3.8xlarge,,r3.8xlarge,,r3.8xlarge,,r3.8xlarge,,r3.8xlarge
r4.large,,r4.large,,r4.large,,r4.large,,r4.large,,r4.large,,r4.large,,r4.large,,r4.large,,r4.large,,r4.large,,r4.large,,r4.large,,r4.large
r4.xlarge,,r4.xlarge,,r4.xlarge,,r4.xlarge,,r4.xlarge,,r4.xlarge,,r4.xlarge,,r4.xlarge,,r4.xlarge,,r4.xlarge,,r4.xlarge,,r4.xlarge,,r4.xlarge,,r4.xlarge
r4.2xlarge,,r4.2xlarge,,r4.2xlarge,,r4.2xlarge,,r4.2xlarge,,r4.2xlarge,,r4.2xlarge,,r4.2xlarge,,r4.2xlarge,,r4.2xlarge,,r4.2xlarge,,r4.2xlarge,,r4.2xlarge,,r4.2xlarge
r4.4xlarge,,r4.4xlarge,,r4.4xlarge,,r4.4xlarge,,r4.4xlarge,,r4.4xlarge,,r4.4xlarge,,r4.4xlarge,,r4.4xlarge,,r4.4xlarge,,r4.4xlarge,,r4.4xlarge,,r4.4xlarge,,r4.4xlarge
